year,DHB,Earthquake-magnitude_max,Earthquake-magnitude_mean,Earthquake-depth_max,Earthquake-depth_mean,Earthquake-counts
2014,Wairarapa,4.2066348,2.495184168357143,33.886951,22.918186375,28
2014,Waitemata,2.4584246,2.4584246,5.055,5.055,1
2014,West Coast,4.465224926,2.8719005642857143,233.046875,37.93283494407143,140
2014,Whanganui,5.130131,1.6965543905497835,151.71875,23.484612881346322,231
2014,Auckland,1.2127046,1.2127046,6.9335938,6.9335938,1
2014,Northland,0,0,0,0,0
2015,Bay of Plenty,4.257195985,2.267679083735931,285.0637207,64.07084551073592,231
2015,Canterbury,5.951265019,2.8169158432903227,64.8828125,10.806970354308245,279
2015,Capital & Coast,2.96281254,2.2557138146666667,49.8828125,25.575623511666667,6
2015,Counties Manukau,0,0,0,0,0
2015,Hawke's Bay,3.984224477,2.350192307346847,130.625,29.949333607477477,222
