DHB,year,Education-No qualification,Education-level 1,Education-level 2,Education-level 3,Education-level 4,Education-level 5,Education-level 6,Education-level 7,Education-level 8,Education-level 9,Education-level 10,Education-≥ level 1,Education-≥ level 2,Education-≥ level 3,Education-≥ level 4,Education-≥ level 5,Education-≥ level 6,Education-≥ level 7,Education-≥ level 8,Education-≥ level 9,Education-≥ level 10
MidCentral,2013,25.66314203320257,14.728118261411757,11.332519290223688,9.939985970746408,10.340079499103688,3.863240757579694,4.4140188615520515,10.220571042581382,2.2290925151334076,2.138162167779481,1.286014912576966,74.33685796679742,59.60873970538567,48.27622041516199,38.33623444441558,27.9961549453119,24.13291418773221,19.71889532618016,9.498324283598777,7.2692317684653744,5.1310696006858905
Hutt Valley,2013,20.62083576407013,13.187386778838771,11.728944702017257,9.705548220700667,10.595965488654855,4.316988547391691,4.651662623967576,13.02772575148147,2.876968896803709,2.8524056618256624,0.9057692898154687,79.37916423592986,66.19177745709109,54.46283275507384,44.75728453437317,34.161319045718315,29.844330498326627,25.192667874359046,12.164942122877576,9.287973226073873,6.435567564248217
Capital & Coast,2013,12.221826724567524,9.026838470847869,9.794262120025628,12.392681711397453,7.257065565601197,3.990887734035737,4.930590161600342,21.109133622837618,5.8332740086851285,5.851783298925038,1.4494198049405567,87.77817327543248,78.75133480458462,68.95707268455898,56.56439097316153,49.307325407560334,45.3164376735246,40.385847511924254,19.276713889086636,13.443439880401513,7.591656581476471
Wairarapa,2013,26.282181228461383,15.294952361646057,12.061625785526049,7.662679910804784,11.757551185890938,4.094871275086154,5.12872491384553,9.841881208189744,2.3211027772146764,1.6622744780052705,0.3750253395499696,73.71781877153862,58.42286640989256,46.361240624366516,38.69856071356173,26.9410095276708,22.84613825258465,17.71741333873912,7.875532130549374,5.554429353334697,3.8921548753294246
Nelson Marlborough,2013,23.40788136099982,14.671410632063624,11.573880284637923,7.20265502601208,12.434969802069007,4.514740178197692,6.0784548226992765,10.201518866232135,2.5892483406087425,1.9733301441128985,0.5232314776056928,76.59211863900018,61.92070800693656,50.346827722298634,43.14417269628655,30.70920289421754,26.194462716019842,20.11600789332057,9.914489027088436,7.325240686479688,5.351910542366795
West Coast,2013,30.451527224435594,17.144754316069058,11.97875166002656,6.626826029216468,12.244355909694555,4.0239043824701195,4.47543160690571,6.879150066401063,1.7529880478087652,1.1952191235059761,0.2390438247011952,69.5484727755644,52.40371845949535,40.42496679946879,33.79814077025232,21.553784860557755,17.529880478087634,13.054448871181918,6.1752988047808515,4.422310756972081,3.2270916334661024
Canterbury,2013,20.665219557927987,13.67179911653167,11.37444360921307,9.694502394486348,10.318673615040922,4.406361647676884,5.559262481312871,12.643901450205664,2.9249051918545232,2.4721910183535054,0.8640421632304872,79.33478044207202,65.66298132554034,54.28853771632727,44.59403532184092,34.2753617068,29.86900005912311,24.30973757781024,11.665836127604578,8.740930935750058,6.268739917396559
South Canterbury,2013,29.102941176470587,17.580882352941178,12.080882352941176,6.772058823529411,11.095588235294118,4.176470588235294,5.25,7.647058823529412,1.5661764705882355,0.9779411764705882,0.1911764705882353,70.89705882352942,53.31617647058823,41.23529411764706,34.46323529411765,23.367647058823536,19.191176470588246,13.941176470588246,6.29411764705884,4.727941176470608,3.750000000000014
Southern,2013,22.960903849064913,14.071036371392792,10.747657120838895,11.354535070940042,10.777932211320133,3.846312631593433,4.621079719817799,11.556827720973757,2.7288865647405287,2.0215503598607345,1.0307292168384548,77.03909615093508,62.968059779542294,52.2204026587034,40.86586758776336,30.087935376443227,26.241622744849792,21.620543025031992,10.063715304058235,7.3348287393177,5.3132783794569605
Area Outside District Health Board,2013,19.480519480519483,10.38961038961039,12.987012987012985,6.493506493506493,20.77922077922078,2.5974025974025974,3.896103896103896,14.285714285714285,2.5974025974025974,1.2987012987012987,1.2987012987012987,80.51948051948051,70.12987012987013,57.14285714285714,50.649350649350644,29.87012987012986,27.272727272727266,23.37662337662337,9.090909090909093,6.4935064935065014,5.194805194805198
Northland,2018,23.1164776640191,14.188972039851247,10.903998898122216,10.759377439052384,11.296542858454616,5.238510628529452,4.910242872228088,9.602405766493733,3.778522565538772,1.9833800101005463,0.41549974748634133,76.8835223359809,62.69455029612965,51.79055139800743,41.031173958955044,29.734631100500422,24.49612047197097,19.585877599742886,9.983471833249155,6.20494926771039,4.221569257609843
Waitemata,2018,13.465440926115082,9.518556350017024,8.995573714674839,11.191011235955056,7.706503234593122,4.8260129383724895,5.155600953353763,18.114402451481105,6.584269662921348,4.715015321756895,0.853932584269663,86.53455907388492,77.0160027238679,68.02042900919305,56.82941777323799,49.12291453864487,44.29690160027238,39.141300646918616,21.02689819543751,14.442628532516167,9.727613210759273
Auckland,2018,10.659119496855347,6.466247379454927,7.075052410901468,11.198322851153039,5.225157232704403,4.09392033542977,4.780712788259958,23.90188679245283,9.20083857442348,7.364360587002096,1.4146750524109015,89.34088050314466,82.87463312368973,75.79958071278826,64.60125786163522,59.376100628930814,55.28218029350104,50.50146750524108,26.599580712788253,17.398742138364767,10.03438155136267
Counties Manukau,2018,19.635966450872214,10.0479956628504,9.10323053863571,12.07385910641962,8.59457218483911,5.244443027075294,4.459929202410945,13.866122396912969,4.156169276397614,2.9307650604330773,0.35239340498134386,80.36403354912778,70.31603788627739,61.21280734764167,49.13894824122205,40.544376056382944,35.29993302930765,30.840003826896705,16.973881429983734,12.817712153586115,9.88694709315304
Waikato,2018,21.397654286512147,12.657079028204413,10.681373917900029,11.073323493038655,9.946343798619699,4.972673235728249,4.6515338891770055,12.239198946822516,4.532851956755894,2.7905214026409224,0.7240595204850999,78.60234571348785,65.94526668528344,55.26389276738341,44.19056927434475,34.24422547572506,29.271552239996808,24.620018350819805,12.380819403997293,7.847967447241402,5.057446044600482
Lakes,2018,20.446195219878035,12.893451005643724,10.976856937237226,10.93140411348055,11.688951176091814,6.2080981780993145,4.912692701034051,10.961705995985001,4.321805992197265,2.1930987462596114,0.49998106132343473,79.55380478012196,66.66035377447824,55.68349683724101,44.752092723760455,33.063141547668636,26.855043369569316,21.94235066853527,10.98064467255027,6.658838680353,4.465739934093392
Bay of Plenty,2018,20.340122336492573,13.09403777643342,10.650668817637964,10.23727902130806,11.181689856825972,5.291725482288095,5.888283928211333,11.842105263157894,4.424615177791221,2.1560126369563757,0.3848222087786516,79.65987766350743,66.565839887074,55.91517106943604,45.67789204812798,34.496202191302004,29.204476709013903,23.316192780802567,11.474087517644676,7.049472339853452,4.893459702897076
Tairawhiti,2018,23.80652701609278,13.575474242560459,11.489706014564415,11.813359705115527,11.489706014564415,4.9806706823698645,4.504180526836285,10.626629506428122,3.6321136384069046,1.6092780724624653,0.2607210284995055,76.19347298390721,62.61799874134676,51.12829272678235,39.31493302166682,27.8252270071024,22.844556324732537,18.340375797896257,7.713746291468141,4.081632653061234,2.4723545805987754
Taranaki,2018,24.637681159420293,14.275022113356467,11.512553582363747,10.110906987820643,11.179152207933592,5.103082261686058,4.681227461386678,9.583588487446418,3.9906103286384975,1.762264407702252,0.29597877117779137,75.3623188405797,61.08729672722324,49.5747431448595,39.463836157038855,28.284683949105258,23.181601687419203,18.50037422603252,8.9167857385861,4.926175409947604,3.1639110022453565
Hawke's Bay,2018,22.578904774750473,13.77492213747946,11.599676288103588,10.55742207617039,10.04242587733281,5.110724182750079,5.336341565097972,11.285773843097825,3.9850896338622266,1.8441768644088579,0.38502096770238126,77.42109522524953,63.646173087770066,52.04649679966648,41.48907472349609,31.44664884616327,26.335924663413195,20.999583098315227,9.713809255217399,5.728719621355168,3.884542756946317
Whanganui,2018,25.173383317713217,13.864417369572008,11.677600749765698,11.377694470477975,10.7029053420806,5.329584504842236,4.679787566385504,9.047172758512964,3.4426741643236487,1.6244923461418308,0.29365823180256173,74.82661668228678,60.96219931271477,49.28459856294907,37.906904092471095,27.203998750390497,21.874414245548266,17.194626679162766,8.14745392064981,4.704779756326161,3.080287410184326
MidCentral,2018,22.705008690156422,13.078121120465882,11.107599936798863,12.34905085434395,9.584001083448074,4.643026431618626,4.521138523350563,10.73290747804889,4.053901541656321,2.573189174547999,1.3407669909486943,77.29499130984358,64.21687018937769,53.10927025257883,40.76021939823488,31.17621831478681,26.533191883168186,22.012053359817628,11.279145881768741,7.225244340112425,4.65205516556442
Hutt Valley,2018,18.0307348123685,11.2712067542014,10.86371747409913,11.529549631128985,9.100593922284071,5.052334407542547,4.66615175646523,14.120968386289185,5.566356832769595,3.8245399099794923,0.9854315924041868,81.96926518763149,70.6980584334301,59.83434095933097,48.304791328201986,39.20419740591792,34.151862998375364,29.48571124191014,15.36474285562096,9.79838602285136,5.973846112871868
Capital & Coast,2018,10.752282502075001,7.859855630171785,8.562841117734349,13.075027037903366,6.30674815764984,4.1009582735984305,4.7825649538469275,20.23566991121507,9.926054478231345,7.3455066777333435,1.660001509092281,89.247717497925,81.38786186775322,72.82502075001887,59.7499937121155,53.443245554465655,49.342287280867225,44.559722327020296,24.324052415805227,14.397997937573876,7.0524912598405365
Wairarapa,2018,23.07758695089324,13.20445326659187,11.072753948390437,10.373694657806162,10.537671528437041,4.8502632260291705,5.229999136963839,10.796582376801588,4.763959609907655,2.399240528178131,0.5696038664020022,76.92241304910675,63.71795978251489,52.645205834124454,42.27151117631829,31.733839647881254,26.883576421852084,21.653577284888243,10.856994908086648,6.0930352981789895,3.6937947700008635
Nelson Marlborough,2018,20.968362712647217,13.142431940061067,11.305262617709696,9.247427706360813,10.84083852923819,5.04964975752444,5.945141508223642,10.897287865958484,5.0291227259897875,2.6402894311446388,0.679957919585354,79.03163728735278,65.88920534729172,54.58394272958202,45.33651502322121,34.49567649398301,29.446026736458577,23.500885228234935,12.603597362276446,7.574474636286652,4.934185205142015
West Coast,2018,28.924292948005437,15.31431394343584,11.621588242558973,9.373842163764357,10.584166975422995,5.187106335679881,4.44609114486847,7.237248363591453,3.1369643077683094,1.4326293689020626,0.27170556996418427,71.07570705199456,55.76139310855872,44.13980486599975,34.7659627022354,24.181795726812396,18.99468939113251,14.548598246264035,7.311349882672587,4.174385574904278,2.741756206002222
Canterbury,2018,18.126072564605188,12.019185892050636,10.579525953370815,11.22862948682047,8.597031643797255,4.958748896021368,5.408956767119746,13.721646597591711,5.612160638763831,3.2175143068450263,0.9348814165392155,81.87392743539482,69.85474154334418,59.27521558997336,48.04658610315289,39.44955445935564,34.49080556333428,29.08184879621453,15.360202198622815,9.74804155985899,6.5305272530139575
South Canterbury,2018,26.07453577457473,15.465523957927541,11.98545643422932,8.90793403454097,10.102584079989612,4.940916764056616,5.181145305804441,9.050772626931568,3.1619270224646145,1.4024152707440591,0.23373587845734323,73.92546422542527,58.45994026749773,46.47448383326841,37.566549798727436,27.463965718737825,22.523048954681215,17.34190364887678,8.291131021945205,5.129203999480595,3.726788728736537
Southern,2018,20.305715815143046,12.493903527032653,10.446678165705109,12.443942187592933,9.662760958781895,4.642835900791054,4.630940343781598,12.501040861238327,5.0532326176173195,2.68958543983822,1.16933325402962,79.69428418485695,67.2003806578243,56.75370249211919,44.30976030452626,34.64699934574436,30.004163444953306,25.373223101171703,12.87218223993338,7.818949622316055,5.129364182477829
Area Outside District Health Board,2018,11.11111111111111,8.88888888888889,6.666666666666667,17.77777777777778,8.88888888888889,6.666666666666667,8.88888888888889,15.555555555555555,6.666666666666667,4.444444444444445,0,88.88888888888889,80,73.33333333333333,55.55555555555556,46.66666666666667,40.00000000000001,31.111111111111114,15.555555555555557,8.888888888888886,4.444444444444443
